% {"col_measures": ["predictive_accuracy", "runtime", "missclassification_rate", "predictive_accuracy_loss", "predictive_accuracy_loss_normalized"], "col_parameters": ["algorithm", "representation", "stopword_remover", "stemmer", "sparsity", "feature_selection"]}
@RELATION text_classification

@ATTRIBUTE algorithm {knn, ranger, JRip, svmLinear2, J48, nnet, lda, C5.0Tree}
@ATTRIBUTE representation {Td-idf, freq}
@ATTRIBUTE stopword_remover {none, default, smart}
@ATTRIBUTE stemmer {none, porter}
@ATTRIBUTE sparsity NUMERIC
@ATTRIBUTE feature_selection {none, '> 0'}
@ATTRIBUTE dataset {n1, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n2, n20, n21, n22, n23, n3, n4, n5, n6, n7, n8, n9, o1, o10, o11, o12, o13, o14, o15, o16, o17, o18, o19, o2, o20, o21, o22, o3, o4, o5, o6, o7, o8, o9, r1, r2, r3, r4, r5}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE missclassification_rate NUMERIC
@ATTRIBUTE predictive_accuracy_loss NUMERIC
@ATTRIBUTE predictive_accuracy_loss_normalized NUMERIC

@DATA
knn,Td-idf,none,none,0.99,none,n1,0.852126301,85.91,0.14787369900000003,0.12869138999999996,inf
ranger,Td-idf,none,none,0.99,none,n1,0.9605117679999999,40.79,0.03948823200000007,0.020305923000000003,inf
JRip,Td-idf,none,none,0.99,none,n1,0.8651441740000001,93.96,0.1348558259999999,0.11567351699999984,inf
svmLinear2,Td-idf,none,none,0.99,none,n1,0.9723564809999999,46.6,0.02764351900000006,0.008461209999999997,inf
J48,Td-idf,none,none,0.99,none,n1,0.8736002820000001,79.78,0.12639971799999994,0.10721740899999987,inf
nnet,Td-idf,none,none,0.99,none,n1,0.975725928,55.07,0.02427407199999998,0.005091762999999916,inf
lda,Td-idf,none,none,0.99,none,n1,0.8106033979999999,77.85,0.18939660200000008,0.17021429300000002,inf
C5.0Tree,Td-idf,none,none,0.99,none,n1,0.8758601779999999,83.84,0.12413982200000007,0.104957513,inf
knn,Td-idf,default,none,0.99,'> 0',n1,0.93680207,40.229999999999706,0.06319792999999996,0.044015620999999894,inf
ranger,Td-idf,default,none,0.99,'> 0',n1,0.9633321909999999,35.879999999999704,0.03666780900000011,0.017485500000000043,inf
JRip,Td-idf,default,none,0.99,'> 0',n1,0.8911074059999999,37.1399999999997,0.10889259400000006,0.089710285,inf
svmLinear2,Td-idf,default,none,0.99,'> 0',n1,0.957674829,28.089999999999698,0.042325170999999995,0.02314286199999993,inf
J48,Td-idf,default,none,0.99,'> 0',n1,0.884327765,32.1899999999997,0.11567223500000001,0.09648992599999995,inf
nnet,Td-idf,default,none,0.99,'> 0',n1,0.965572975,27.9199999999997,0.034427025000000055,0.015244715999999991,inf
lda,Td-idf,default,none,0.99,'> 0',n1,0.945832681,28.9599999999997,0.05416731900000005,0.03498500999999998,inf
C5.0Tree,Td-idf,default,none,0.99,'> 0',n1,0.8860093000000001,39.9999999999997,0.11399069999999989,0.09480839099999983,inf
knn,Td-idf,default,none,0.98,none,n1,0.8543938459999999,38.1600000000002,0.1456061540000001,0.12642384500000003,inf
ranger,Td-idf,default,none,0.98,none,n1,0.965020103,27.2900000000001,0.03497989700000004,0.015797587999999974,inf
JRip,Td-idf,default,none,0.98,none,n1,0.8832079890000001,35.4500000000002,0.11679201099999992,0.09760970199999985,inf
svmLinear2,Td-idf,default,none,0.98,none,n1,0.949204699,19.790000000000102,0.05079530099999996,0.031612991999999895,inf
J48,Td-idf,default,none,0.98,none,n1,0.865717434,27.0500000000001,0.134282566,0.11510025699999993,inf
nnet,Td-idf,default,none,0.98,none,n1,0.9587933000000001,20.4900000000002,0.04120669999999993,0.022024390999999865,inf
lda,Td-idf,default,none,0.98,none,n1,0.887683214,22.1200000000002,0.11231678599999995,0.09313447699999988,inf
C5.0Tree,Td-idf,default,none,0.98,none,n1,0.8645709140000001,39.56000000000021,0.13542908599999992,0.11624677699999986,inf
knn,Td-idf,default,none,0.98,'> 0',n1,0.903487185,29.759999999999103,0.09651281499999997,0.07733050599999991,inf
ranger,Td-idf,default,none,0.98,'> 0',n1,0.965584432,25.279999999999102,0.03441556800000001,0.015233258999999943,inf
JRip,Td-idf,default,none,0.98,'> 0',n1,0.892238651,29.889999999999105,0.107761349,0.08857903999999994,inf
svmLinear2,Td-idf,default,none,0.98,'> 0',n1,0.9559830970000001,17.8999999999991,0.04401690299999994,0.024834593999999877,inf
J48,Td-idf,default,none,0.98,'> 0',n1,0.86966014,22.489999999999103,0.13033985999999997,0.11115755099999991,inf
nnet,Td-idf,default,none,0.98,'> 0',n1,0.968395934,17.589999999999097,0.031604065999999986,0.012421756999999922,inf
lda,Td-idf,default,none,0.98,'> 0',n1,0.9548467970000001,18.459999999999102,0.04515320299999992,0.025970893999999856,inf
C5.0Tree,Td-idf,default,none,0.98,'> 0',n1,0.8752945609999999,29.569999999999105,0.12470543900000008,0.10552313000000002,inf
knn,Td-idf,default,porter,0.99,none,n1,0.85832761,80.2499999999999,0.14167238999999998,0.12249008099999992,inf
ranger,Td-idf,default,porter,0.99,none,n1,0.967843045,46.0499999999999,0.03215695500000004,0.012974645999999979,inf
JRip,Td-idf,default,porter,0.99,none,n1,0.883206775,83.1099999999999,0.116793225,0.09761091599999994,inf
svmLinear2,Td-idf,default,porter,0.99,none,n1,0.9746112690000001,49.0499999999999,0.025388730999999942,0.006206421999999878,inf
J48,Td-idf,default,porter,0.99,none,n1,0.9040502020000001,67.7999999999999,0.09594979799999992,0.07676748899999986,inf
nnet,Td-idf,default,porter,0.99,none,n1,0.9796839209999999,48.3399999999999,0.020316079000000098,0.001133770000000034,inf
lda,Td-idf,default,porter,0.99,none,n1,0.8179219640000001,72.0499999999999,0.18207803599999994,0.16289572699999988,inf
C5.0Tree,Td-idf,default,porter,0.99,none,n1,0.903479513,78.42999999999991,0.09652048700000004,0.07733817799999998,inf
knn,Td-idf,default,porter,0.99,'> 0',n1,0.9187293120000001,45.7200000000006,0.08127068799999992,0.06208837899999986,inf
ranger,Td-idf,default,porter,0.99,'> 0',n1,0.9650239279999999,40.6400000000006,0.03497607200000008,0.015793763000000016,inf
JRip,Td-idf,default,porter,0.99,'> 0',n1,0.888265365,43.2200000000006,0.11173463500000003,0.09255232599999996,inf
svmLinear2,Td-idf,default,porter,0.99,'> 0',n1,0.960504142,33.7800000000006,0.039495857999999995,0.02031354899999993,inf
J48,Td-idf,default,porter,0.99,'> 0',n1,0.909698667,37.9900000000006,0.09030133299999998,0.07111902399999992,inf
nnet,Td-idf,default,porter,0.99,'> 0',n1,0.968983175,33.7600000000006,0.031016825000000026,0.011834515999999962,inf
lda,Td-idf,default,porter,0.99,'> 0',n1,0.95317033,34.5800000000006,0.046829670000000045,0.02764736099999998,inf
C5.0Tree,Td-idf,default,porter,0.99,'> 0',n1,0.913652848,45.3600000000006,0.08634715199999998,0.06716484299999992,inf
knn,Td-idf,default,porter,0.98,none,n1,0.86172893,46.4700000000007,0.13827107000000005,0.11908876099999999,inf
ranger,Td-idf,default,porter,0.98,none,n1,0.9678392259999999,33.9800000000007,0.03216077400000006,0.012978464999999995,inf
JRip,Td-idf,default,porter,0.98,none,n1,0.8809226440000001,45.130000000000706,0.11907735599999991,0.09989504699999985,inf
