rank,workflow,representation,stopword_remover,stemmer,sparsity,feature_selection,algorithm
1,w94,td-idf,default,none,0.98,>0,ld
2,w126,td-idf,default,porter,0.98,>0,ld
3,w158,td-idf,smart,none,0.98,>0,ld
4,w320,freq,default,porter,0.98,>0,rf
5,w62,td-idf,none,porter,0.98,>0,ld
6,w288,freq,default,none,0.98,>0,rf
7,w312,freq,default,porter,0.98,none,rf
8,w30,td-idf,none,none,0.98,>0,ld
9,w256,freq,none,porter,0.98,>0,rf
10,w128,td-idf,default,porter,0.98,>0,rf
11,w224,freq,none,none,0.98,>0,rf
12,w190,td-idf,smart,porter,0.98,>0,ld
13,w384,freq,smart,porter,0.98,>0,rf
14,w174,td-idf,smart,porter,0.99,>0,ld
15,w110,td-idf,default,porter,0.99,>0,ld
16,w64,td-idf,none,porter,0.98,>0,rf
17,w376,freq,smart,porter,0.98,none,rf
18,w96,td-idf,default,none,0.98,>0,rf
19,w296,freq,default,porter,0.99,none,rf
20,w352,freq,smart,none,0.98,>0,rf
21,w142,td-idf,smart,none,0.99,>0,ld
22,w248,freq,none,porter,0.98,none,rf
23,w120,td-idf,default,porter,0.98,none,rf
